City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,16.32,49,1,2.71,AU,2023-04-22
1,victoria,22.2855,114.1577,24.1,91,89,7.6,HK,2023-04-22
2,neuquen,-38.9516,-68.0591,21.94,30,0,4.12,AR,2023-04-22
3,new norfolk,-42.7826,147.0587,13.72,65,69,0.45,AU,2023-04-22
4,atuona,-9.8,-139.0333,27.44,78,56,6.33,PF,2023-04-22
5,ushuaia,-54.8,-68.3,10.81,50,75,8.75,AR,2023-04-22
6,mar del plata,-38.0023,-57.5575,15.01,77,100,6.17,AR,2023-04-22
7,coquimbo,-29.9533,-71.3436,15.85,82,100,4.63,CL,2023-04-22
8,jamestown,42.097,-79.2353,10.8,93,100,8.23,US,2023-04-22
9,katherine,-14.4667,132.2667,21.18,83,4,2.57,AU,2023-04-22
10,norman wells,65.282,-126.8329,-2.98,86,100,6.69,CA,2023-04-22
11,burnie,-41.0667,145.9167,14.41,78,60,3.98,AU,2023-04-22
12,mwense,-10.3845,28.698,20.46,93,86,1.93,ZM,2023-04-22
13,port alfred,-33.5906,26.891,15.1,68,100,0.89,ZA,2023-04-22
14,bilibino,68.0546,166.4372,-10.51,73,42,1.95,RU,2023-04-22
15,airai,-8.9266,125.4092,14.77,91,88,1.42,TL,2023-04-22
16,pacific grove,36.6177,-121.9166,18.78,85,40,4.47,US,2023-04-22
17,vaini,-21.2,-175.2,23.09,88,20,3.6,TO,2023-04-22
18,bethel,41.3712,-73.414,18.9,76,100,4.63,US,2023-04-22
19,rumoi,43.9344,141.6428,3.97,78,87,2.96,JP,2023-04-22
20,bluff,-46.6,168.3333,11.56,78,67,8.2,NZ,2023-04-22
21,george town,5.4112,100.3354,27.96,88,20,2.06,MY,2023-04-22
22,carnarvon,-24.8667,113.6333,23.32,57,0,5.7,AU,2023-04-22
23,thompson,55.7435,-97.8558,0.09,51,20,3.6,CA,2023-04-22
24,barrow,71.2906,-156.7887,-19.99,77,0,8.23,US,2023-04-22
25,waipawa,-41.4122,175.5153,12.16,95,87,1.07,NZ,2023-04-22
26,lompoc,34.6391,-120.4579,25.43,68,81,8.49,US,2023-04-22
27,dikson,73.5069,80.5464,-4.8,94,99,3.71,RU,2023-04-22
28,cape town,-33.9258,18.4232,15.06,89,100,10.29,ZA,2023-04-22
29,tuktoyaktuk,69.4541,-133.0374,-17.0,78,100,8.75,CA,2023-04-22
30,praya,14.9215,-23.5087,25.3,57,20,9.26,CV,2023-04-22
31,vardo,70.3705,31.1107,-5.01,86,100,7.72,NO,2023-04-22
32,yellowknife,62.456,-114.3525,5.29,52,75,6.17,CA,2023-04-22
33,cherskiy,68.75,161.3,-10.7,90,47,0.96,RU,2023-04-22
34,rikitea,-23.1203,-134.9692,26.16,90,99,8.06,PF,2023-04-22
35,adrar,20.5022,-10.0711,31.28,13,70,4.4,MR,2023-04-22
36,punta arenas,-53.15,-70.9167,11.06,54,0,5.14,CL,2023-04-22
37,satka,55.0425,59.04,5.78,90,100,1.79,RU,2023-04-22
38,manzhouli,49.6,117.4333,-2.67,22,6,1.58,CN,2023-04-22
39,kapaa,22.0752,-159.319,23.99,94,0,3.09,US,2023-04-22
40,albany,42.6001,-73.9662,18.35,64,100,1.79,US,2023-04-22
41,tasiilaq,65.6145,-37.6368,0.09,79,37,1.87,GL,2023-04-22
42,lorengau,-2.0226,147.2712,27.58,79,98,2.33,PG,2023-04-22
43,sitka,57.0531,-135.33,7.94,61,100,6.17,US,2023-04-22
44,qaanaaq,77.484,-69.3632,-6.27,84,100,2.87,GL,2023-04-22
45,saskylakh,71.9167,114.0833,-15.85,98,95,1.98,RU,2023-04-22
46,meulaboh,4.1363,96.1285,25.86,88,99,1.49,ID,2023-04-22
47,salinopolis,-0.6136,-47.3561,29.5,72,94,5.36,BR,2023-04-22
48,georgetown,5.4112,100.3354,27.96,88,20,2.06,MY,2023-04-22
49,cabo san lucas,22.8909,-109.9124,32.01,28,20,2.06,MX,2023-04-22
50,yangambi,0.8102,24.4336,20.84,94,100,0.53,CD,2023-04-22
51,pevek,69.7008,170.3133,-11.88,83,22,1.22,RU,2023-04-22
52,saldanha,-33.0117,17.9442,15.16,83,100,8.2,ZA,2023-04-22
53,mataura,-46.1927,168.8643,11.38,98,96,1.31,NZ,2023-04-22
54,caravelas,-17.7125,-39.2481,26.87,66,100,5.09,BR,2023-04-22
